name,드라마,액션,코미디,스릴러,범죄,모험,로맨스,애니메이션,미스터리,SF,판타지
박준희,93,92.0,89.0,NaN,80.0,88.0,NaN,85.0,NaN,80.0,81.0
조진희,94,92.0,88.0,81.0,86.0,83.0,86.0,NaN,NaN,NaN,75.0
민콩,91,87.0,89.0,NaN,NaN,90.0,82.0,91.0,NaN,NaN,85.0
Justin,91,92.0,90.0,74.0,NaN,89.0,75.0,89.0,NaN,75.0,81.0
Kwang Wook Lim,93,93.0,87.0,84.0,87.0,84.0,78.0,NaN,NaN,73.0,NaN
나무,93,91.0,89.0,86.0,NaN,82.0,85.0,89.0,NaN,NaN,83.0
전수현,91,92.0,89.0,82.0,80.0,89.0,NaN,84.0,NaN,NaN,83.0
과몰입 석사,93,90.0,91.0,NaN,NaN,88.0,85.0,87.0,NaN,NaN,81.0
강명준,94,92.0,88.0,81.0,85.0,85.0,74.0,80.0,NaN,NaN,80.0
오늘은너에게로,92,93.0,88.0,81.0,80.0,89.0,NaN,89.0,NaN,77.0,79.0
김성호의 씨네만세,94,91.0,90.0,83.0,83.0,81.0,85.0,NaN,NaN,71.0,72.0
알량한,93,92.0,89.0,86.0,86.0,82.0,76.0,75.0,NaN,76.0,NaN
장재강,93,91.0,90.0,83.0,82.0,86.0,80.0,77.0,NaN,76.0,NaN
DW Son,93,92.0,89.0,82.0,83.0,88.0,NaN,88.0,NaN,77.0,77.0
박솔비,91,92.0,87.0,73.0,NaN,91.0,NaN,87.0,NaN,76.0,84.0
oneyoons,89,94.0,83.0,85.0,82.0,89.0,NaN,78.0,NaN,84.0,80.0
멍멍코,92,92.0,89.0,88.0,85.0,87.0,NaN,77.0,NaN,80.0,78.0
김은기,93,92.0,88.0,85.0,86.0,86.0,74.0,75.0,NaN,77.0,77.0
김병철,89,93.0,91.0,79.0,83.0,90.0,NaN,86.0,NaN,79.0,82.0
도롱이,93,92.0,89.0,80.0,84.0,87.0,77.0,89.0,74.0,NaN,78.0
호두,89,92.0,89.0,82.0,NaN,91.0,NaN,92.0,NaN,80.0,85.0
섭맨정,91,94.0,86.0,83.0,83.0,88.0,NaN,NaN,67.0,84.0,75.0
린26,92,93.0,86.0,82.0,82.0,90.0,NaN,88.0,NaN,80.0,84.0
함필규,93,81.0,91.0,NaN,73.0,82.0,88.0,88.0,NaN,NaN,82.0
서휘,90,93.0,87.0,83.0,82.0,89.0,NaN,91.0,NaN,86.0,78.0
nikeeeeeeeeeeeeeeee,93,93.0,88.0,85.0,89.0,86.0,75.0,NaN,79.0,73.0,NaN
김차서,90,94.0,85.0,80.0,74.0,91.0,NaN,85.0,NaN,83.0,82.0
윤태영,93,91.0,90.0,81.0,88.0,82.0,81.0,NaN,80.0,NaN,75.0
빛을마시는새,93,91.0,91.0,79.0,82.0,83.0,87.0,74.0,NaN,NaN,77.0
송창의,93,93.0,90.0,83.0,86.0,83.0,77.0,71.0,NaN,69.0,NaN
변현섭,92,92.0,87.0,83.0,84.0,89.0,NaN,85.0,NaN,82.0,81.0
키쟁이,91,94.0,87.0,85.0,84.0,88.0,74.0,84.0,NaN,80.0,79.0
GuminLee,93,92.0,85.0,85.0,89.0,78.0,74.0,NaN,74.0,72.0,NaN
흰머리수리부엉이,95,88.0,90.0,84.0,86.0,77.0,82.0,NaN,NaN,NaN,72.0
id_a,92,93.0,88.0,80.0,81.0,89.0,NaN,83.0,NaN,80.0,82.0
Su Hyeon Jin,93,90.0,91.0,83.0,82.0,86.0,78.0,84.0,NaN,79.0,79.0
쏘매니아,92,93.0,87.0,83.0,88.0,83.0,79.0,NaN,67.0,73.0,74.0
박유민,91,94.0,84.0,84.0,84.0,88.0,NaN,NaN,71.0,81.0,79.0
김보원,93,92.0,88.0,86.0,84.0,84.0,83.0,NaN,NaN,80.0,78.0
설정,92,93.0,91.0,82.0,81.0,87.0,NaN,90.0,NaN,80.0,80.0
송준수,91,93.0,85.0,85.0,82.0,90.0,NaN,81.0,NaN,82.0,81.0
다방,92,88.0,90.0,NaN,74.0,88.0,84.0,89.0,NaN,NaN,80.0
김서영,94,83.0,91.0,79.0,NaN,85.0,86.0,85.0,NaN,NaN,81.0
전익현,93,91.0,87.0,85.0,81.0,87.0,81.0,82.0,NaN,85.0,80.0
홍이슬,92,92.0,89.0,NaN,80.0,89.0,82.0,92.0,NaN,82.0,80.0
여성,93,92.0,88.0,84.0,84.0,84.0,85.0,NaN,78.0,NaN,84.0
로트렉,94,91.0,91.0,84.0,86.0,83.0,77.0,NaN,NaN,NaN,76.0
임동현,93,89.0,88.0,82.0,91.0,73.0,85.0,NaN,72.0,NaN,82.0
김세종,94,92.0,88.0,82.0,82.0,86.0,81.0,80.0,NaN,80.0,76.0
전지적 민승시점,93,92.0,78.0,87.0,90.0,74.0,67.0,NaN,68.0,66.0,NaN
최하진,92,94.0,85.0,83.0,87.0,87.0,NaN,77.0,NaN,82.0,72.0
아휘,95,90.0,90.0,82.0,85.0,78.0,83.0,NaN,NaN,NaN,66.0
miniminhan,91,93.0,87.0,83.0,83.0,89.0,NaN,84.0,NaN,78.0,82.0
KaniKim,93,90.0,88.0,NaN,NaN,85.0,81.0,93.0,NaN,81.0,78.0
